seed,test_day,day_from,day_to,anchor_day,train_acc,within_day_acc,acc_raw,acc_polar,pca_dim,corr_raw_mean,corr_raw_median,corr_raw_max,corr_polar_mean,corr_polar_median,corr_polar_max,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,notes
31,15,1,12,12,0.5288,0.9300,0.2188,0.1262,64,0.070448,0.031551,0.479215,0.243357,0.224379,0.532799,0.811025,0.633979,0.600625,0.527594,0.484858,0.444274,0.442481,0.427756,0.402496,0.390751,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,16,3,15,15,0.5274,0.9375,0.3650,0.1400,64,0.080274,0.053115,0.510232,0.224930,0.209848,0.566529,0.835743,0.732422,0.629825,0.534841,0.498769,0.481290,0.436135,0.423923,0.414900,0.408656,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,19,7,18,18,0.5301,0.9350,0.3725,0.1625,64,0.089736,0.039409,0.672090,0.253570,0.221295,0.746765,0.854953,0.750723,0.638804,0.551972,0.478346,0.465155,0.439386,0.411194,0.392682,0.389561,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,22,12,21,21,0.6558,0.9038,0.4729,0.1779,64,0.062852,0.031536,0.522668,0.220569,0.204557,0.667983,0.781866,0.627728,0.501461,0.459642,0.423700,0.419081,0.408378,0.388579,0.378270,0.369091,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,23,13,22,22,0.6612,0.8588,0.3420,0.2360,64,0.084676,0.046127,0.563609,0.233817,0.205987,0.694365,0.810489,0.714886,0.581269,0.524317,0.453901,0.432218,0.408530,0.401975,0.394558,0.386999,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,24,16,23,23,0.6466,0.8313,0.4200,0.3425,64,0.083533,0.046605,0.687704,0.243325,0.218485,0.731264,0.808951,0.711193,0.624418,0.522931,0.499603,0.439599,0.420449,0.417163,0.397701,0.390586,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,25,16,23,23,0.6466,0.8187,0.4275,0.1700,64,0.067042,0.040875,0.667014,0.238258,0.215610,0.726153,0.835844,0.709150,0.564322,0.541489,0.467868,0.427954,0.418352,0.402883,0.394984,0.390615,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,26,16,23,23,0.6466,0.8650,0.3175,0.1250,64,0.066103,0.035799,0.738256,0.237708,0.214711,0.769310,0.830893,0.715726,0.607078,0.579038,0.487380,0.430298,0.420985,0.413830,0.400305,0.382302,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,28,19,27,27,0.6451,0.9187,0.4025,0.1250,64,0.093626,0.055226,0.732606,0.251586,0.215467,0.764669,0.832948,0.765914,0.618281,0.563927,0.470658,0.446205,0.427239,0.408205,0.393278,0.376691,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,29,19,27,27,0.6451,0.8538,0.3325,0.1550,64,0.076982,0.047525,0.686141,0.240762,0.217980,0.715755,0.798299,0.733324,0.562287,0.474678,0.429946,0.416932,0.413885,0.411430,0.400233,0.381416,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,31,19,27,27,0.6451,0.8163,0.4000,0.1350,64,0.070716,0.030254,0.708843,0.247918,0.221708,0.754430,0.826572,0.759428,0.626532,0.525723,0.483550,0.438203,0.414259,0.409787,0.396153,0.379629,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,32,22,31,31,0.6915,0.8650,0.4725,0.2275,64,0.072014,0.038905,0.676708,0.244870,0.219615,0.710627,0.792951,0.731104,0.581954,0.489366,0.458585,0.435815,0.419810,0.413998,0.403037,0.383006,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,33,23,32,32,0.7141,0.8050,0.3133,0.2100,64,0.049219,0.018058,0.622727,0.226464,0.205331,0.691471,0.777971,0.698532,0.548395,0.451380,0.424415,0.411917,0.405631,0.401765,0.393015,0.384922,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,34,23,32,32,0.7141,0.9287,0.3025,0.3175,64,0.053268,0.017601,0.608433,0.228567,0.208903,0.677779,0.789945,0.708923,0.538031,0.487407,0.451818,0.423841,0.413418,0.396585,0.387427,0.380717,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,35,23,32,32,0.7141,0.9125,0.3125,0.1987,64,0.046883,0.013959,0.579976,0.230157,0.210288,0.669365,0.762651,0.678830,0.629653,0.462818,0.447243,0.422215,0.406334,0.395084,0.381077,0.375649,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,36,24,35,35,0.6361,0.8375,0.5238,0.2212,64,0.062151,0.025922,0.631418,0.225188,0.201317,0.690168,0.788641,0.674700,0.563499,0.458626,0.443241,0.414450,0.405661,0.393787,0.377558,0.375977,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,37,24,35,35,0.6361,0.9375,0.4625,0.2100,64,0.058648,0.031547,0.625352,0.224793,0.201094,0.697451,0.804216,0.726495,0.646378,0.497677,0.444001,0.427299,0.411938,0.387477,0.377196,0.371760,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,40,28,38,38,0.7139,0.7863,0.2025,0.1825,64,0.042663,0.027034,0.493157,0.207082,0.193457,0.622659,0.748068,0.649981,0.469139,0.442408,0.426845,0.416583,0.399453,0.386894,0.374390,0.358495,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,41,32,40,40,0.6428,0.6950,0.2075,0.1925,64,0.048561,0.031559,0.396680,0.214368,0.203877,0.473418,0.732132,0.626347,0.479681,0.440227,0.405751,0.400999,0.396449,0.386391,0.381848,0.363567,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,42,32,40,40,0.6428,0.5737,0.1610,0.1610,64,0.013327,0.015738,0.151834,0.134531,0.132515,0.247916,0.593504,0.503860,0.439531,0.426862,0.414279,0.401817,0.399382,0.390100,0.369926,0.368657,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,43,32,40,40,0.6428,0.5150,0.1725,0.1225,64,0.026038,0.019978,0.264872,0.144002,0.134690,0.306711,0.623441,0.532433,0.454998,0.436654,0.419224,0.403069,0.396849,0.381012,0.371134,0.362584,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,44,33,43,43,0.5924,0.7312,0.3050,0.1075,64,0.041186,0.031080,0.228340,0.181350,0.173695,0.365995,0.605348,0.560928,0.487157,0.462589,0.422787,0.420050,0.412991,0.393558,0.384034,0.370453,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,45,33,43,43,0.5924,0.9263,0.3100,0.1650,64,0.029236,0.018586,0.177992,0.175728,0.179904,0.296019,0.584282,0.510106,0.480675,0.442701,0.424896,0.420116,0.415523,0.405213,0.399363,0.384057,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,46,36,45,45,0.5555,0.7137,0.2300,0.1075,64,0.034102,0.028149,0.328939,0.200797,0.189205,0.420563,0.631127,0.545005,0.461503,0.428343,0.425811,0.405921,0.398100,0.393303,0.370230,0.362610,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,47,39,46,46,0.5692,0.7775,0.3350,0.1000,64,0.020801,0.008860,0.308490,0.199706,0.195915,0.406997,0.628175,0.526845,0.458932,0.437568,0.419103,0.410406,0.401395,0.388830,0.376707,0.369998,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,48,39,46,46,0.5692,0.8562,0.4833,0.1250,64,0.031584,0.015383,0.312201,0.196919,0.186652,0.416188,0.604874,0.537041,0.453893,0.440731,0.423020,0.414182,0.411139,0.397847,0.391536,0.370674,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,49,39,46,46,0.5692,0.7950,0.3817,0.1300,64,0.038561,0.031741,0.250288,0.186818,0.180495,0.375366,0.634538,0.563073,0.473004,0.431613,0.420502,0.405544,0.399975,0.387197,0.369740,0.357722,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,50,41,49,49,0.5853,0.8263,0.3517,0.2417,64,0.045289,0.032897,0.325077,0.213464,0.198659,0.426309,0.696968,0.602537,0.479119,0.451296,0.433416,0.426627,0.417820,0.400362,0.393264,0.383416,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,51,41,49,49,0.5853,0.8438,0.1250,0.1250,64,0.059118,0.038738,0.414362,0.210275,0.193609,0.469828,0.745068,0.708404,0.509083,0.486150,0.436642,0.411425,0.407810,0.399377,0.378970,0.366391,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,52,41,49,49,0.5853,0.8562,0.1987,0.1250,64,0.050893,0.032036,0.361163,0.218280,0.204483,0.474963,0.748061,0.685890,0.523238,0.464378,0.431624,0.419626,0.410812,0.403217,0.391995,0.386791,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,53,41,49,49,0.5853,0.7688,0.2763,0.1153,64,0.038520,0.025674,0.296135,0.181540,0.173025,0.446593,0.708415,0.629417,0.458029,0.440770,0.421092,0.413302,0.390864,0.384725,0.377463,0.371220,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
31,54,44,53,53,0.5830,0.7925,0.2163,0.1650,64,0.049495,0.019010,0.438150,0.222589,0.204164,0.502606,0.721195,0.664480,0.464217,0.452182,0.433006,0.417702,0.406768,0.392382,0.381996,0.372528,TR-PCA64 + NB; Stratified CCA; K_cap=28; pool=mean; R_from_M→Polar (no shift)
